1;regiao;cpf;numero_sequencial_de_voto;codigo_do_municipio;codigo_candidato_federal;codigo_do_partido_federal;codigo_do_candidato_regional;codigo_do_partido_regional;data
1;SC;000.538.698-50;1;0;17;0;17;0;17/11/2018 18:12:22
2;SC;064.728.689-05;2;0;17;0;17;0;17/11/2018 18:12:40
2;SC;535.686.950-47;3;0;2;0;2;0;17/11/2018 18:12:54
1;SC;000.538.698-50;4;0;17;0;17;0;17/11/2018 18:12:22
2;SC;064.728.689-05;5;0;17;0;17;0;17/11/2018 18:12:40
2;SC;535.686.950-47;6;0;2;0;2;0;17/11/2018 18:12:54
1;SC;000.538.698-50;7;0;17;0;17;0;17/11/2018 18:12:22
2;SC;064.728.689-05;8;0;17;0;17;0;17/11/2018 18:12:40
2;SC;535.686.950-47;9;0;2;0;2;0;17/11/2018 18:12:54
1;SC;000.538.698-50;10;0;17;0;17;0;17/11/2018 18:12:22
2;SC;064.728.689-05;11;0;17;0;17;0;17/11/2018 18:12:40
2;SC;535.686.950-47;12;0;2;0;2;0;17/11/2018 18:12:54
1;SC;000.538.698-50;13;0;17;0;17;0;17/11/2018 18:12:22
2;SC;064.728.689-05;14;0;17;0;17;0;17/11/2018 18:12:40
2;SC;535.686.950-47;15;0;2;0;2;0;17/11/2018 18:12:54
1;SC;000.538.698-50;16;0;17;0;17;0;17/11/2018 18:12:22
2;SC;064.728.689-05;17;0;17;0;17;0;17/11/2018 18:12:40
2;SC;535.686.950-47;18;0;2;0;2;0;17/11/2018 18:12:54
1;SC;000.538.698-50;19;0;17;0;17;0;17/11/2018 18:12:22
2;SC;064.728.689-05;20;0;17;0;17;0;17/11/2018 18:12:40
2;SC;535.686.950-47;21;0;2;0;2;0;17/11/2018 18:12:54
1;SC;000.538.698-50;22;0;17;0;17;0;17/11/2018 18:12:22
2;SC;064.728.689-05;23;0;17;0;17;0;17/11/2018 18:12:40
2;SC;535.686.950-47;24;0;2;0;2;0;17/11/2018 18:12:54
1;SC;000.538.698-50;25;0;17;0;17;0;17/11/2018 18:12:22
2;SC;064.728.689-05;26;0;17;0;17;0;17/11/2018 18:12:40
2;SC;535.686.950-47;27;0;2;0;2;0;17/11/2018 18:12:54
1;SC;000.538.698-50;28;0;17;0;17;0;17/11/2018 18:12:22
2;SC;064.728.689-05;29;0;17;0;17;0;17/11/2018 18:12:40
2;SC;535.686.950-47;30;0;2;0;2;0;17/11/2018 18:12:54
1;SC;000.538.698-50;31;0;17;0;17;0;17/11/2018 18:12:22
2;SC;064.728.689-05;32;0;17;0;17;0;17/11/2018 18:12:40
2;SC;535.686.950-47;33;0;2;0;2;0;17/11/2018 18:12:54
1;SC;000.538.698-50;34;0;17;0;17;0;17/11/2018 18:12:22
2;SC;064.728.689-05;35;0;17;0;17;0;17/11/2018 18:12:40
2;SC;535.686.950-47;36;0;2;0;2;0;17/11/2018 18:12:54
1;SC;000.538.698-50;37;0;17;0;17;0;17/11/2018 18:12:22
2;SC;064.728.689-05;38;0;17;0;17;0;17/11/2018 18:12:40
2;SC;535.686.950-47;39;0;2;0;2;0;17/11/2018 18:12:54
1;SC;000.538.698-50;40;0;17;0;17;0;17/11/2018 18:12:22
2;SC;064.728.689-05;41;0;17;0;17;0;17/11/2018 18:12:40
2;SC;535.686.950-47;42;0;2;0;2;0;17/11/2018 18:12:54
1;SC;000.538.698-50;43;0;17;0;17;0;17/11/2018 18:12:22
2;SC;064.728.689-05;44;0;17;0;17;0;17/11/2018 18:12:40
2;SC;535.686.950-47;45;0;2;0;2;0;17/11/2018 18:12:54
1;SC;000.538.698-50;46;0;17;0;17;0;17/11/2018 18:12:22
2;SC;064.728.689-05;47;0;17;0;17;0;17/11/2018 18:12:40
2;SC;535.686.950-47;48;0;2;0;2;0;17/11/2018 18:12:54
1;SC;000.538.698-50;49;0;17;0;17;0;17/11/2018 18:12:22
2;SC;064.728.689-05;50;0;17;0;17;0;17/11/2018 18:12:40
2;SC;535.686.950-47;51;0;2;0;2;0;17/11/2018 18:12:54
1;SC;000.538.698-50;52;0;17;0;17;0;17/11/2018 18:12:22
2;SC;064.728.689-05;53;0;17;0;17;0;17/11/2018 18:12:40
2;SC;535.686.950-47;54;0;2;0;2;0;17/11/2018 18:12:54
1;SC;000.538.698-50;55;0;17;0;17;0;17/11/2018 18:12:22
2;SC;064.728.689-05;56;0;17;0;17;0;17/11/2018 18:12:40
2;SC;535.686.950-47;57;0;2;0;2;0;17/11/2018 18:12:54
1;SC;000.538.698-50;58;0;17;0;17;0;17/11/2018 18:12:22
2;SC;064.728.689-05;59;0;17;0;17;0;17/11/2018 18:12:40
2;SC;535.686.950-47;60;0;2;0;2;0;17/11/2018 18:12:54
1;SC;000.538.698-50;61;0;17;0;17;0;17/11/2018 18:12:22
2;SC;064.728.689-05;62;0;17;0;17;0;17/11/2018 18:12:40
2;SC;535.686.950-47;63;0;2;0;2;0;17/11/2018 18:12:54
2;PR;112.121.111-21;64;0;11;0;11;0;17/11/2018 18:16:54
2;PR;032.034.801-66;65;0;17;0;17;0;17/11/2018 18:24:09
2;SC;064.728.689-05;66;0;81;0;81;0;17/11/2018 18:28:46
